experiment,dataset,K,category,method,variance,risk,return,number_of_selected_assets,selected_indices,selected_tickers,selected_assets,solve_time,mip_gap,status,original_number_of_assets,number_of_assets_used,reduced_instance,reduction_rule
OR-Library,port2,20,Best Sparse,cardinality,0.0001370627818637,0.01170738151184,0.0020754631128538,20,"[1, 2, 3, 9, 11, 12, 18, 19, 33, 34, 48, 50, 56, 58, 61, 66, 67, 70, 77, 84]",,,0.1211459636688232,0.0,2.0,85.0,85.0,False,none
OR-Library,port2,20,Genetic Algorithm,genetic_algorithm,0.0001393920998631,0.0118064431503792,0.0022574115974187,20,"[0, 1, 2, 3, 5, 11, 12, 17, 18, 28, 34, 36, 48, 50, 58, 66, 67, 70, 73, 84]",,,13.344758249935694,,2.0,85.0,85.0,False,none
OR-Library,port2,20,Gurobi Cardinality,cardinality,0.0001370627818637,0.01170738151184,0.0020754631128538,20,"[1, 2, 3, 9, 11, 12, 18, 19, 33, 34, 48, 50, 56, 58, 61, 66, 67, 70, 77, 84]",,,0.1211459636688232,0.0,2.0,85.0,85.0,False,none
OR-Library,port2,20,No-Sparsity Baseline,no_sparsity,0.0001368559567414,0.0116985450694272,0.002102107281869,28,"[0, 1, 2, 3, 7, 9, 11, 12, 18, 19, 28, 33, 34, 39, 43, 48, 49, 50, 56, 58, 61, 66, 67, 70, 71, 72, 77, 84]",,,0.0055580139160156,,,85.0,85.0,False,none
OR-Library,port2,20,Simulated Annealing,simulated_annealing,0.0001687469077318,0.012990262034763,0.0020087740540441,20,"[0, 3, 10, 12, 14, 17, 18, 19, 24, 28, 32, 34, 39, 47, 50, 52, 64, 67, 72, 81]",,,2.757835124968551,,2.0,85.0,85.0,False,none
OR-Library,port3,5,Best Sparse,cardinality,0.0002384403707549,0.0154415145227058,0.0026614269662921,5,"[1, 19, 40, 45, 61]",,,7.010682821273804,0.0,2.0,89.0,89.0,False,none
OR-Library,port3,5,Genetic Algorithm,genetic_algorithm,0.0002384408150212,0.0154415289081494,0.0026615245424729,5,"[1, 19, 40, 45, 61]",,,2.8370149160036817,,2.0,89.0,89.0,False,none
OR-Library,port3,5,Gurobi Cardinality,cardinality,0.0002384403707549,0.0154415145227058,0.0026614269662921,5,"[1, 19, 40, 45, 61]",,,7.010682821273804,0.0,2.0,89.0,89.0,False,none
OR-Library,port3,5,No-Sparsity Baseline,no_sparsity,0.0001992801195208,0.014116661061342,0.0026614270499076,36,"[1, 2, 11, 16, 19, 22, 23, 24, 25, 29, 32, 35, 40, 44, 45, 52, 54, 55, 58, 59, 60, 61, 62, 64, 65, 66, 70, 71, 72, 74, 75, 76, 81, 82, 84, 85]",,,0.0061390399932861,,,89.0,89.0,False,none
OR-Library,port3,5,Simulated Annealing,simulated_annealing,0.0002886260427619,0.016988997697392,0.0026614271053541,5,"[8, 24, 36, 44, 45]",,,0.5162315829657018,,2.0,89.0,89.0,False,none
OR-Library,port3,10,Best Sparse,cardinality,0.0002068696749415,0.0143829647479779,0.0026614269662921,10,"[1, 19, 24, 29, 40, 45, 55, 61, 74, 82]",,,1.0793938636779783,0.0,2.0,89.0,89.0,False,none
OR-Library,port3,10,Genetic Algorithm,genetic_algorithm,0.0002121133425108,0.0145641114562779,0.0026614285963361,10,"[1, 2, 19, 22, 24, 29, 40, 45, 55, 61]",,,4.71570666693151,,2.0,89.0,89.0,False,none
