category,method,K,alpha,test_mse,features,selected_feature_names,status
Best Overall,OLS,,,78.79250694188973,21,"[""lread"", ""lwrite"", ""scall"", ""sread"", ""swrite"", ""fork"", ""exec"", ""rchar"", ""wchar"", ""pgout"", ""ppgout"", ""pgfree"", ""pgscan"", ""atch"", ""pgin"", ""ppgin"", ""pflt"", ""vflt"", ""runqsz"", ""freemem"", ""freeswap""]",success
Best Sparse,Best Subset (Gurobi),15.0,,79.12065096216774,15,"[""lread"", ""lwrite"", ""swrite"", ""fork"", ""rchar"", ""wchar"", ""pgout"", ""ppgout"", ""pgfree"", ""atch"", ""pflt"", ""vflt"", ""runqsz"", ""freemem"", ""freeswap""]",optimal
Best Hard Cardinality,Best Subset (Gurobi),15.0,,79.12065096216774,15,"[""lread"", ""lwrite"", ""swrite"", ""fork"", ""rchar"", ""wchar"", ""pgout"", ""ppgout"", ""pgfree"", ""atch"", ""pflt"", ""vflt"", ""runqsz"", ""freemem"", ""freeswap""]",optimal
Best Gurobi,Best Subset (Gurobi),15.0,,79.12065096216774,15,"[""lread"", ""lwrite"", ""swrite"", ""fork"", ""rchar"", ""wchar"", ""pgout"", ""ppgout"", ""pgfree"", ""atch"", ""pflt"", ""vflt"", ""runqsz"", ""freemem"", ""freeswap""]",optimal
Best IHT,IHT,15.0,,80.27934033052703,15,"[""lread"", ""scall"", ""sread"", ""swrite"", ""fork"", ""exec"", ""rchar"", ""wchar"", ""ppgout"", ""atch"", ""pflt"", ""vflt"", ""runqsz"", ""freemem"", ""freeswap""]",converged
Best LASSO,LASSO,,0.001,78.79405502203757,21,"[""lread"", ""lwrite"", ""scall"", ""sread"", ""swrite"", ""fork"", ""exec"", ""rchar"", ""wchar"", ""pgout"", ""ppgout"", ""pgfree"", ""pgscan"", ""atch"", ""pgin"", ""ppgin"", ""pflt"", ""vflt"", ""runqsz"", ""freemem"", ""freeswap""]",success
OLS Baseline,OLS,,,78.79250694188973,21,"[""lread"", ""lwrite"", ""scall"", ""sread"", ""swrite"", ""fork"", ""exec"", ""rchar"", ""wchar"", ""pgout"", ""ppgout"", ""pgfree"", ""pgscan"", ""atch"", ""pgin"", ""ppgin"", ""pflt"", ""vflt"", ""runqsz"", ""freemem"", ""freeswap""]",success
