method,variance,risk,return,number_of_selected_assets,selected_indices,selected_tickers,solve_time,mip_gap
no_sparsity,0.00015464322468263227,0.0124355629017199,0.0009245938854388156,14,"[0, 1, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 19]","['AAPL', 'MSFT', 'NVDA', 'TSLA', 'V', 'HD', 'PG', 'MA', 'DIS', 'BAC', 'XOM', 'KO', 'PFE', 'PEP']",0.0009391307830810547,
cardinality,0.0001579709445192704,0.012568649271869686,0.0009245938743775393,5,"[8, 12, 15, 16, 19]","['V', 'MA', 'XOM', 'KO', 'PEP']",0.026256084442138672,0.0
