method,best_variance,average_variance,std_variance,best_risk,average_risk,average_runtime,best_selected_tickers
genetic_algorithm,0.00015797095419479325,0.00016044385991806508,2.8263106793123013e-06,0.012568649656776707,0.01266615854964239,0.00047702789306640624,"['V', 'MA', 'XOM', 'KO', 'PEP']"
simulated_annealing,0.00015984559506308606,0.00016429366786148222,3.437091552255402e-06,0.012643005776439639,0.012817008290156456,0.0004709482192993164,"['AAPL', 'DIS', 'XOM', 'KO', 'PEP']"
