,method,K,alpha,test_mse,number_of_selected_features
Best Overall,IHT,15.0,,0.017460199933531907,15
Best Sparse,IHT,15.0,,0.017460199933531907,15
Best Hard Cardinality,IHT,15.0,,0.017460199933531907,15
Best Gurobi,Best Subset (Gurobi),5.0,,0.018428732609781125,5
Best IHT,IHT,15.0,,0.017460199933531907,15
Best LASSO,LASSO,,0.001,0.01787066504625449,21
OLS Baseline,OLS,,,0.018258027127079773,30
